Date,Close
12/3/2018,145
12/4/2018,138.64
12/6/2018,141.05
12/7/2018,137.11
12/10/2018,137.88
12/11/2018,136.81
12/12/2018,137.8
12/13/2018,137.54
12/14/2018,135.09
12/17/2018,131.4
12/18/2018,132.66
12/19/2018,131.26
12/20/2018,128.76
12/21/2018,124.26
12/24/2018,121.73
12/26/2018,130.23
12/27/2018,132.01
12/28/2018,130.94
12/31/2018,131.94
1/2/2019,132.92
1/3/2019,128.13
1/4/2019,133.65
1/7/2019,136.06
1/8/2019,136.8
1/9/2019,138.41
1/10/2019,138.67
1/11/2019,138.06
1/14/2019,137.1
1/15/2019,137.34
1/16/2019,137.34
1/17/2019,137.28
1/18/2019,138.5
1/22/2019,138.05
1/23/2019,137.01
1/24/2019,137.7
1/25/2019,138.67
1/28/2019,135.99
1/29/2019,135
1/30/2019,137.6
1/31/2019,135.01
2/1/2019,140.15
2/4/2019,141.5
2/5/2019,142.53
2/6/2019,141.49
2/7/2019,140.17
2/8/2019,140.38
2/11/2019,140.8
2/12/2019,141.99
2/13/2019,143.49
2/14/2019,143.16
2/15/2019,144.91
2/19/2019,144.44
2/20/2019,144.73
2/21/2019,144
2/22/2019,145.87
2/25/2019,146.06
2/26/2019,147.04
2/27/2019,147.22
2/28/2019,148.12
3/1/2019,149.47
3/4/2019,147.96
3/5/2019,147.95
3/6/2019,147.81
3/7/2019,146.83
3/8/2019,147.35
3/11/2019,150.67
3/12/2019,151.73
3/13/2019,152.47
3/14/2019,154.2
3/15/2019,155.46
3/18/2019,154.96
3/19/2019,154.59
3/20/2019,153.75
3/21/2019,155.8
3/22/2019,153.07
3/25/2019,153.03
3/26/2019,155.3
3/27/2019,154.22
3/28/2019,154.67
3/29/2019,156.19
4/1/2019,157.26
4/2/2019,157.78
4/3/2019,158.46
4/4/2019,157.64
4/5/2019,157.65
4/8/2019,157.75
4/9/2019,157.49
4/10/2019,158.56
4/11/2019,157.86
4/12/2019,159.64
4/15/2019,160.44
4/16/2019,160.23
4/17/2019,160.44
4/18/2019,160.16
4/22/2019,160.4
4/23/2019,161.66
4/24/2019,161.49
4/25/2019,161.02
4/26/2019,162.93
4/29/2019,164.15
4/30/2019,164.43
